Using Techfile: /tmp/pohan//sky130A/libs.tech/klayout/sky130A.lyt
Using layout file: /project/openlane/user_project_wrapper/runs/user_project_wrapper/results/klayout/user_project_wrapper.xor.gds
[INFO] Reading tech file: /tmp/pohan//sky130A/libs.tech/klayout/sky130A.lyt
[INFO] Reading Layout file: /project/openlane/user_project_wrapper/runs/user_project_wrapper/results/klayout/user_project_wrapper.xor.gds
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=2019163894, record number=136422794, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=2019224902, record number=136422804, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=2019748550, record number=136443639, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=2019976886, record number=136451999, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=2020261606, record number=136461349, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=2334217222, record number=148881474, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=2334258598, record number=148881499, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=2334327238, record number=148881764, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=3886056678, record number=269107779, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=3886089958, record number=269107784, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=3886123206, record number=269107789, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=3886158822, record number=269107794, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=3886196486, record number=269107799, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=3886231878, record number=269107804, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=3886266246, record number=269107809, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=3886301766, record number=269107814, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=3927110534, record number=270049979, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=6060763622, record number=411271184, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=6063174278, record number=411344014, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=6063236150, record number=411344049, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=6063313846, record number=411344074, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=6063765350, record number=411354214, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=6063859558, record number=411354269, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=6084948278, record number=412526564, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=6085353430, record number=412526939, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=7283961142, record number=476844084, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=7284007686, record number=476844134, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=7284062342, record number=476844144, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=7284098902, record number=476844149, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=7284465014, record number=476849354, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=7507955942, record number=491145644, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=7508050966, record number=491145709, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=7508103094, record number=491145714, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=7566915852, record number=494069776, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=7621810588, record number=496904611, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=7621888108, record number=496904621, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=7622544668, record number=496904756, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=7625012636, record number=496965126, cell=XOR)
Warning: Record length larger than 0x8000 encountered: interpreting as unsigned (position=7625456412, record number=496965196, cell=XOR)
[INFO] Writing out PNG screenshot '/project/openlane/user_project_wrapper/runs/user_project_wrapper/results/klayout/user_project_wrapper.xor.gds.png'
Done
